objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,type,format,language
fgcu001,fgcu_manuscript_001,,,"Fort Myers News-Press, September 9, 1960",Fort Myers News-Press,9/9/1960,"Newspaper of September 9, 1960, discussing Hurricane Donna heading for the Florida Keys and evacuation.",newspaper;hurricane;fort myers; florida,"Fort Myers, Florida",Image,image/jpeg,eng
fgcu002,fgcu_manuscript_002,,,"Fort Myers News-Press, September 13, 1960",Fort Myers News-Press,9/13/1960,"Newspaper of September 13, 1960, discussing the damages of Hurricane Donna and federal assistance.",newspaper;hurricane;fort myers; florida,"Fort Myers, Florida",Image,image/jpeg,eng
fgcu003,fgcu_manuscript_003,,,Old Naples Historic Homes Tour,Collier County Historic Society,,Document about plans for first time Old Naples historic homes tour and the interest in having it.,naples;tourism;historic society,"Naples, Florida",Document,document/pdf,eng
fgcu004,fgcu_manuscript_004,,,"Florida Health Notes, Hurricane Donna",Florida Health Notes,1961,"Volume 54, no. 4 of Florida Health Notes on Hurricane Donna. Document discussing the hurricane's path and damages. The notes discuss possible health hazards in the hurricane's aftermath.",hurricane;damages;health,Florida,Document,document/pdf,eng
fgcu005,fgcu_manuscript_005,,,Donna Was the Worst Storm We Ever Had,,1989,Document looking back at Hurricane Donna's impact on Collier County including preparations for the storm and the damages.,southwest florida; hurricane;collier county,Florida,Document,document/pdf,eng
fgcu006,fgcu_manuscript_006,,,"Hurricanes, Photographic Exhibit",Collier County Museums,,Document discusses a hurricane photographic exhbit about hurricanes affecting Collier County from 1873 to 1960.,southwest florida;hurricane;exhibit,Florida,Document,document/pdf,eng
fgcu007,fgcu_photograph_007,,,Flooding Surrounding Houses,,,Black-and-white photograph depicting four buildings surrounded by water. The building in the farthest back seems to have submerged.,southwest florida;photograph;flooding,Florida,Image,image/jpg,eng
fgcu008,fgcu_photograph_008,,,Two Men Rowing,,,Black-and-white photograph depicting two men rowing down a flooded region in front of a building.,southwest florida;photograph;flooding,Florida,Image,image/jpg,eng
fgcu009,fgcu_photograph_009,,,Ariel View of Beachfront,,,Black-and-white photograph depicting an ariel photograph of a beachfront area with a boardwalk and mutiple buildings.,southwest florida;photograph;development,Florida,Image,image/jpeg,eng
fgcu010,fgcu_photograph_010,,,Three Men Infront of Canal,,,Black-and-white photograph depicting three men standing in front of what appears to be a constructed canal.,southwest florida;photograph;canal,Florida,Image,image/jpg,eng
fgcu011,fgcu_photograph_011,,,Collier County Fair,,,Black-and-white photograph depicting entrance to the Collier Couny Fair. Mutiple people walking around. Front end of a car is shown.,southwest florida;photograph;fair,Florida,Image,image/jpg,eng
fgcu012,fgcu_photograph_012,,,Military Airfield,,,Black-and-white photograph depicting a military airfield with men lined up. Possible photograph of the Naples Airfield during World War I or World War II.,southwest florida;photograph;airfield,Florida,Image,image/jpg,eng
fgcu013,fgcu_photograph_013,,,Swamp Buggy Race,,,Black-and-white photograph depicting spectators watching three swamp buggies drive by.,southwest florida;photograph;race,Florida,Image,image/jpeg,eng
fgcu014,fgcu_photograph_014,,,Estrada Farm Tomatoes Box,,,Color photograph of an Estrada & Sons Inc. tomatoes carboard box.,southwest florida;photograph;agriculture,Florida,Image,image/jpg,eng
fgcu015,fgcu_photograph_015,,,Chololoskee Island Park,,,"Color photograph of Chokoloskee Island Park depicting a light yellow building. Possibbly a vendor shop with a coke machine outside and the words ""STONE CRABS"" written on the building.",southwest florida;photograph;park,Florida,Image,image/jpg,eng
fgcu016,fgcu_photograph_016,,,Two Men and Distillery,,,Black-and-white photograph of two men in front of a distillery. The man on the left is holding a glass bottle containing a liquid.,southwest florida;photograph;distillery,Florida,Image,image/jpg,eng
fgcu017,fgcu_photograph_017,,,Man and Swamp Buggy,,,Black-and-white photograph of a man with his leg up on a swamp buggy in front of a building.,southwest florida;photograph;swamp buggy,Florida,Image,image/jpg,eng
fgcu018,fgcu_photograph_018,,,Building with American Flag,,,Black-and-white photograph of a structure with a flag pole at the top center tower with the American flag waving.,southwest florida;photograph;building,Florida,Image,image/jpeg,eng
fgcu019,fgcu_photograph_019,,,Notice Sign,,,Black-and-white photograph of a notice sign.,southwest florida;photograph;sign,Florida,Image,image/jpg,eng
fgcu020,fgcu_photograph_020,,,Photograph of Military Man,,,Black-and-white photograph of a man in possible military uniform.,southwest florida;photograph;people,Florida,Image,image/jpg,eng
fgcu021,fgcu_photograph_021,,,Souvenir of Hurricane Donna,,,Series of black-and-white photographs of hurricane damage related to Hurricane Donna.,southwest florida;photograph;hurricane,Florida,Image,image/pdf,eng
fgcu022,fgcu_manuscript_022,,,"Fort Myers News-Press, September 12, 1960",Fort Myers News-Press,9/12/1960,"Newspaper of September 12, 1960, discussing Hurricane Donna.",newspaper;hurricane;fort myers; florida,"Fort Myers, Florida",Document,document/pdf,eng
fgcu023,fgcu_photograph_023,,,Five Flooded Homes,,,Black-and-white photograph. Man walking through flooded street in front of four white homes and a larger building in the background.,southwest florida;hurricane;flooding,Florida,Image,image/jpg,eng
fgcu024,fgcu_photograph_024,,,Flooded Street,,,Black-and-white photograph of a flood landscape including the building in the background.,southwest florida;hurricane;flooding,Florida,Image,image/jpg,eng
